"['time', 'Charging Current (mA)', 'Discharging Current (mA)', 'Pack Voltage (mV)', 'String 1 Voltage(mV)', 'String 2 Voltage(mV)', 'String 3 Voltage(mV)', 'String 4 Voltage(mV)', 'Temp (C)', 'State Of Charge (%)']"
1622485800000,0,60,16268,4070,4059,4069,4070,2.87,89
1622485920000,0,60,16268,4070,4059,4070,4070,2.87,89
1622486040000,0,60,16268,4070,4059,4070,4070,2.87,89
1622486160000,0,60,16267,4069,4059,4069,4070,2.87,89
1622486280000,0,60,16267,4069,4059,4070,4069,2.86,89
1622486400000,0,60,16264,4069,4058,4069,4069,2.85,89
1622486520000,0,60,16268,4069,4059,4070,4070,2.85,89
1622486640000,0,60,16266,4069,4059,4069,4069,2.85,89
1622486760000,0,60,16266,4069,4059,4069,4069,2.85,89
1622486880000,0,60,16264,4068,4058,4069,4069,2.85,89
1622487000000,0,60,16264,4069,4058,4069,4068,2.84,89
1622487120000,0,60,16263,4068,4058,4068,4069,2.84,89
1622487240000,0,60,16264,4068,4058,4069,4069,2.84,89
1622487360000,0,60,16263,4069,4058,4068,4068,2.84,89
1622487480000,0,60,16261,4068,4058,4068,4068,2.83,89
1622487600000,0,60,16261,4068,4057,4068,4068,2.82,89
1622487720000,0,60,16260,4067,4057,4068,4068,2.83,89
1622487840000,0,60,16261,4068,4057,4068,4068,2.82,89
1622487960000,0,60,16261,4068,4058,4068,4068,2.81,89
1622488080000,0,60,16260,4068,4058,4067,4067,2.81,89
1622488200000,0,60,16261,4068,4057,4068,4068,2.81,89
1622488320000,0,60,16260,4067,4058,4068,4068,2.81,89
1622488440000,0,60,16257,4067,4057,4067,4067,2.81,89
1622488560000,0,60,16257,4067,4057,4067,4067,2.8,89
1622488680000,0,60,16257,4067,4056,4067,4067,2.8,89
1622488800000,0,60,16257,4067,4057,4067,4067,2.8,89
1622488920000,0,60,16257,4067,4056,4067,4067,2.8,87
1622489040000,0,60,16254,4066,4055,4066,4067,2.8,87
1622489160000,0,60,16256,4066,4056,4067,4067,2.8,87
1622489280000,0,60,16254,4067,4056,4066,4066,2.79,87
1622489400000,0,60,16256,4067,4056,4067,4066,2.79,87
1622489520000,0,60,16253,4066,4055,4066,4066,2.79,87
1622489640000,0,60,16254,4067,4055,4067,4066,2.79,87
1622489760000,0,60,16253,4066,4055,4066,4066,2.78,87
1622489880000,0,60,16253,4066,4055,4066,4066,2.78,87
1622490000000,0,60,16250,4066,4054,4066,4065,2.78,87
1622490120000,0,60,16252,4066,4055,4065,4066,2.78,87
1622490240000,0,60,16252,4066,4054,4066,4066,2.78,87
1622490360000,0,60,16253,4066,4055,4066,4066,2.77,87
1622490480000,0,60,16250,4065,4055,4066,4065,2.77,87
1622490600000,0,60,16250,4065,4055,4065,4066,2.77,87
1622490720000,0,60,16250,4065,4055,4065,4065,2.76,87
1622490840000,0,60,16249,4065,4054,4065,4065,2.76,87
1622490960000,0,60,16247,4065,4054,4064,4065,2.76,87
1622491080000,0,60,16249,4065,4054,4065,4065,2.76,87
1622491200000,0,60,16249,4065,4054,4065,4065,2.76,87
1622491320000,0,60,16249,4065,4054,4065,4065,2.76,87
1622491440000,0,60,16246,4064,4054,4064,4064,2.75,87
1622491560000,0,60,16247,4065,4053,4065,4064,2.75,87
1622491680000,0,60,16247,4065,4054,4065,4064,2.75,87
1622491800000,0,60,16247,4065,4054,4065,4065,2.74,87
1622491920000,0,60,16245,4064,4053,4064,4064,2.74,87
1622492040000,0,60,16246,4064,4053,4065,4064,2.74,87
1622492160000,0,60,16246,4064,4054,4064,4064,2.73,87
1622492280000,0,60,16243,4064,4052,4064,4064,2.73,87
1622492400000,0,60,16245,4064,4053,4064,4064,2.73,87
1622492520000,0,60,16243,4064,4053,4063,4064,2.72,87
1622492640000,0,60,16243,4064,4053,4063,4063,2.72,87
1622492760000,0,60,16243,4064,4053,4063,4063,2.72,87
1622492880000,0,60,16242,4063,4052,4063,4064,2.72,87
1622493000000,0,60,16240,4063,4052,4063,4063,2.72,87
1622493120000,0,60,16243,4063,4053,4063,4064,2.71,87
1622493240000,0,60,16240,4063,4052,4063,4063,2.71,87
1622493360000,0,60,16243,4063,4052,4064,4064,2.71,87
1622493480000,0,60,16242,4063,4052,4064,4063,2.71,87
1622493600000,0,60,16242,4063,4052,4064,4063,2.71,87
1622493720000,0,60,16239,4063,4051,4062,4063,2.71,87
1622493840000,0,60,16238,4062,4051,4062,4063,2.71,87
1622493960000,0,60,16238,4062,4051,4062,4063,2.71,87
1622494080000,0,60,16239,4062,4051,4063,4063,2.7,87
1622494200000,0,60,16238,4062,4051,4063,4062,2.71,87
