time,Charging Current (mA),Discharging Current (mA),Pack Voltage (mV),String 1 Voltage(mV),String 2 Voltage(mV),String 3 Voltage(mV),String 4 Voltage(mV),Temp (C),State Of Charge (%)
1623004200000,0,60,14639,3660,3656,3662,3661,28.0,41
1623004320000,0,60,14639,3661,3655,3662,3660,28.0,41
1623004440000,0,60,14639,3661,3655,3662,3660,28.0,41
1623004560000,0,60,14638,3660,3655,3663,3660,28.0,41
1623004680000,0,60,14638,3661,3655,3662,3660,28.0,41
1623004800000,0,60,14637,3660,3655,3662,3660,27.9,41
1623004920000,0,60,14638,3660,3655,3663,3660,27.9,41
1623005040000,0,60,14639,3661,3656,3662,3660,28.0,41
1623005160000,0,60,14637,3660,3655,3662,3660,27.9,41
1623005280000,0,60,14637,3660,3655,3662,3660,27.9,41
1623005400000,0,60,14640,3661,3655,3663,3661,27.9,41
1623005520000,0,60,14637,3661,3655,3661,3660,27.9,41
1623005640000,0,60,14636,3660,3655,3662,3659,27.9,41
1623005760000,0,60,14638,3661,3655,3662,3660,27.9,41
1623005880000,0,60,14636,3660,3654,3662,3660,27.8,41
1623006000000,0,60,14637,3660,3655,3662,3660,27.8,41
1623006120000,0,60,14637,3660,3655,3662,3660,27.8,41
1623006240000,0,70,14637,3660,3655,3662,3660,27.8,41
1623006360000,0,60,14635,3660,3654,3662,3659,27.8,41
1623006480000,0,60,14636,3660,3655,3662,3660,27.7,41
1623006600000,0,60,14637,3660,3655,3662,3660,27.7,41
1623006720000,0,60,14634,3659,3655,3661,3659,27.5,41
1623006840000,0,60,14634,3660,3654,3661,3659,27.7,41
1623006960000,0,60,14636,3659,3655,3662,3660,27.7,41
1623007080000,0,60,14633,3659,3654,3661,3659,27.6,41
1623007200000,0,60,14634,3660,3654,3661,3659,27.7,41
1623007320000,0,60,14634,3659,3654,3662,3659,27.6,41
1623007440000,0,60,14634,3660,3654,3661,3659,27.6,41
1623007560000,0,60,14633,3659,3654,3661,3659,27.6,41
1623007680000,0,60,14633,3659,3654,3661,3659,27.5,41
1623007800000,0,60,14633,3659,3654,3661,3659,27.6,41
1623007920000,0,60,14634,3659,3654,3662,3659,27.6,41
1623008040000,0,60,14632,3658,3654,3661,3659,27.5,41
1623008160000,0,60,14632,3659,3654,3660,3659,27.5,39
1623008280000,0,60,14631,3658,3654,3660,3659,27.5,39
1623008400000,0,60,14632,3659,3654,3660,3659,27.5,39
1623008520000,0,70,14631,3658,3653,3661,3659,27.5,39
1623008640000,0,60,14633,3659,3654,3661,3659,27.5,39
1623008760000,0,60,14632,3659,3654,3661,3658,27.5,39
1623008880000,0,60,14631,3658,3654,3661,3658,27.4,39
1623009000000,0,60,14631,3659,3653,3661,3658,27.5,39
1623009120000,0,60,14631,3658,3654,3661,3658,27.4,39
1623009240000,0,60,14631,3659,3654,3660,3658,27.4,39
1623009360000,0,60,14631,3659,3654,3660,3658,27.4,39
1623009480000,0,60,14629,3658,3653,3660,3658,27.4,39
1623009600000,0,60,14629,3658,3653,3660,3658,27.3,39
1623009720000,0,60,14629,3658,3653,3660,3658,27.3,39
1623009840000,0,60,14629,3658,3653,3660,3658,27.3,39
1623009960000,0,60,14625,3657,3652,3659,3657,27.3,39
1623010080000,0,60,14629,3658,3653,3660,3658,27.3,39
1623010200000,0,60,14629,3658,3653,3660,3658,27.2,39
1623010320000,0,60,14628,3658,3653,3659,3658,27.2,39
1623010440000,0,60,14628,3658,3653,3659,3658,27.2,39
1623010560000,0,60,14627,3658,3653,3659,3657,27.3,39
1623010680000,0,60,14629,3658,3653,3660,3658,27.2,39
1623010800000,0,60,14628,3658,3653,3659,3658,27.2,39
1623010920000,0,60,14629,3658,3654,3659,3658,27.2,39
1623011040000,0,60,14628,3658,3653,3659,3658,27.2,39
1623011160000,0,60,14626,3657,3653,3659,3657,27.2,39
1623011280000,0,60,14626,3657,3652,3659,3658,27.2,39
1623011400000,0,60,14626,3657,3653,3659,3657,27.1,39
1623011520000,0,60,14626,3657,3653,3659,3657,27.0,39
1623011640000,0,60,14628,3657,3653,3660,3658,27.1,39
1623011760000,0,60,14626,3657,3653,3659,3657,27.1,39
1623011880000,0,60,14626,3657,3653,3659,3657,27.1,39
1623012000000,0,60,14625,3657,3652,3659,3657,27.0,39
1623012120000,0,60,14624,3657,3652,3658,3657,27.0,39
1623012240000,0,60,14623,3657,3652,3658,3656,27.0,39
1623012360000,0,60,14626,3657,3653,3659,3657,27.0,39
1623012480000,0,60,14624,3657,3652,3658,3657,27.1,39
1623012600000,0,60,14624,3657,3652,3658,3657,27.0,39
1623012720000,0,60,14624,3656,3652,3659,3657,27.0,39
1623012840000,0,60,14623,3657,3652,3658,3656,27.0,39
1623012960000,0,60,14623,3656,3652,3658,3657,27.0,39
1623013080000,0,60,14622,3657,3652,3658,3656,27.0,39
1623013200000,0,60,14623,3656,3652,3659,3656,26.9,39
1623013320000,0,60,14624,3657,3652,3658,3657,26.9,39
1623013440000,0,60,14623,3656,3652,3659,3656,26.9,39
1623013560000,0,60,14623,3657,3652,3658,3656,26.9,39
1623013680000,0,60,14623,3657,3652,3658,3656,26.9,39
1623013800000,0,60,14622,3656,3652,3658,3656,26.9,39
1623013920000,0,60,14622,3656,3652,3658,3656,26.9,39
1623014040000,0,60,14622,3656,3652,3658,3656,26.9,39
1623014160000,0,60,14622,3656,3652,3658,3656,26.9,39
1623014280000,0,60,14623,3656,3652,3658,3657,26.9,39
1623014400000,0,60,14622,3656,3652,3658,3656,26.8,39
1623014520000,0,60,14622,3656,3652,3658,3656,26.8,39
1623014640000,0,60,14621,3656,3652,3657,3656,26.8,39
1623014760000,0,60,14621,3656,3652,3657,3656,26.8,39
1623014880000,0,60,14620,3656,3651,3658,3655,26.8,39
1623015000000,0,60,14621,3656,3651,3658,3656,26.8,39
1623015120000,0,60,14619,3655,3651,3657,3656,26.7,39
1623015240000,0,60,14620,3656,3651,3657,3656,26.7,39
1623015360000,0,60,14619,3656,3651,3657,3655,26.7,39
1623015480000,0,60,14618,3655,3651,3657,3655,26.8,39
1623015600000,0,60,14620,3655,3651,3658,3656,26.7,39
1623015720000,0,60,14619,3655,3651,3657,3656,26.7,39
1623015840000,0,60,14619,3655,3651,3657,3656,26.7,39
1623015960000,0,60,14618,3655,3651,3657,3655,26.7,39
1623016080000,0,60,14619,3655,3651,3657,3656,26.7,39
1623016200000,0,60,14618,3655,3651,3657,3656,26.7,39
1623016320000,0,60,14618,3655,3651,3657,3655,26.6,39
1623016440000,0,60,14619,3655,3651,3657,3656,26.6,39
1623016560000,0,60,14618,3655,3651,3657,3655,26.7,39
1623016680000,0,60,14618,3655,3651,3657,3655,26.6,39
1623016800000,0,60,14618,3655,3651,3657,3655,26.6,39
1623016920000,0,60,14618,3655,3651,3657,3655,26.6,39
1623017040000,0,60,14618,3655,3651,3657,3655,26.6,39
1623017160000,0,60,14617,3655,3650,3657,3655,26.5,39
1623017280000,0,60,14617,3655,3650,3656,3655,26.5,39
1623017400000,0,60,14616,3654,3651,3656,3655,26.5,39
1623017520000,0,60,14618,3655,3651,3657,3655,26.5,39
1623017640000,0,60,14615,3655,3651,3657,3655,26.5,39
1623017760000,0,60,14615,3654,3651,3656,3654,26.5,39
1623017880000,0,60,14614,3654,3650,3656,3654,26.5,39
1623018000000,0,60,14616,3655,3651,3656,3654,26.5,39
1623018120000,0,60,14614,3654,3650,3656,3654,26.5,39
1623018240000,0,60,14617,3655,3650,3657,3655,26.5,39
1623018360000,0,60,14615,3655,3650,3656,3654,26.5,39
1623018480000,0,60,14616,3654,3651,3656,3655,26.5,39
1623018600000,0,60,14614,3654,3650,3656,3654,26.4,39
1623018720000,0,60,14616,3655,3650,3656,3655,26.4,39
1623018840000,0,60,14615,3654,3650,3656,3655,26.4,39
1623018960000,0,60,14614,3654,3650,3656,3654,26.3,39
1623019080000,0,60,14614,3654,3650,3656,3654,26.4,39
1623019200000,0,60,14614,3654,3650,3656,3654,26.3,39
1623019320000,0,60,14614,3654,3650,3656,3654,26.3,39
1623019440000,0,60,14615,3654,3650,3656,3654,26.3,39
1623019560000,0,60,14614,3654,3650,3656,3654,26.3,39
1623019680000,0,60,14613,3654,3650,3655,3654,26.3,39
1623019800000,0,60,14613,3654,3650,3655,3654,26.3,39
1623019920000,0,60,14612,3654,3649,3655,3654,26.3,39
1623020040000,0,60,14613,3654,3649,3656,3654,26.3,39
1623020160000,0,60,14612,3654,3649,3655,3654,26.3,39
1623020280000,0,60,14612,3654,3649,3655,3654,26.2,39
1623020400000,0,60,14612,3654,3649,3655,3654,26.3,39
1623020520000,0,60,14612,3654,3649,3655,3654,26.2,39
1623020640000,0,60,14612,3654,3649,3655,3654,26.2,39
1623020760000,0,60,14611,3653,3649,3655,3654,26.2,39
1623020880000,0,60,14612,3654,3649,3655,3654,26.2,39
1623021000000,0,60,14613,3654,3650,3655,3654,26.2,39
1623021120000,0,60,14612,3654,3649,3655,3654,26.1,39
1623021240000,0,60,14611,3653,3649,3655,3654,26.2,39
1623021360000,0,60,14611,3653,3649,3655,3654,26.2,39
1623021480000,0,60,14611,3653,3649,3655,3654,26.1,39
1623021600000,0,60,14611,3654,3649,3655,3653,26.1,39
1623021720000,0,60,14611,3653,3649,3655,3654,26.1,39
1623021840000,0,60,14611,3653,3649,3655,3654,26.1,39
1623021960000,0,60,14611,3653,3649,3655,3654,26.1,39
1623022080000,0,60,14610,3653,3649,3655,3653,26.1,39
1623022200000,0,60,14609,3653,3648,3655,3653,26.0,39
1623022320000,0,60,14610,3653,3649,3655,3653,26.0,39
1623022440000,0,60,14608,3653,3648,3654,3653,26.0,39
1623022560000,0,60,14609,3653,3648,3655,3653,26.0,39
1623022680000,0,60,14607,3652,3649,3654,3653,26.0,39
1623022800000,0,60,14609,3653,3648,3655,3653,25.9,39
1623022920000,0,60,14609,3653,3649,3655,3653,25.9,39
1623023040000,0,60,14609,3653,3648,3655,3653,25.9,39
1623023160000,0,60,14607,3652,3648,3654,3653,25.9,39
1623023280000,0,60,14607,3652,3649,3654,3652,25.9,39
1623023400000,0,60,14606,3652,3648,3654,3652,25.9,39
1623023520000,0,60,14606,3652,3648,3654,3652,25.8,39
1623023640000,0,60,14607,3652,3648,3654,3653,25.9,39
1623023760000,0,60,14607,3653,3648,3654,3652,25.8,39
1623023880000,0,60,14606,3652,3648,3654,3652,25.8,39
1623024000000,0,60,14606,3652,3648,3654,3652,25.8,39
1623024120000,0,60,14608,3653,3648,3654,3653,25.8,39
1623024240000,0,60,14606,3652,3648,3654,3652,25.8,39
1623024360000,0,60,14607,3653,3648,3654,3652,25.8,39
1623024480000,0,60,14608,3653,3648,3654,3653,25.7,39
1623024600000,0,60,14607,3652,3648,3654,3653,25.7,39
1623024720000,0,60,14605,3652,3648,3653,3652,25.7,39
1623024840000,0,60,14605,3652,3648,3653,3652,25.7,39
1623024960000,0,60,14605,3652,3648,3653,3652,25.7,39
1623025080000,0,60,14605,3652,3648,3653,3652,25.7,39
1623025200000,0,60,14604,3652,3647,3653,3652,25.7,39
1623025320000,0,60,14604,3652,3647,3653,3652,25.7,39
1623025440000,0,60,14606,3652,3648,3654,3652,25.6,39
1623025560000,0,60,14606,3652,3647,3654,3653,25.7,39
1623025680000,0,70,14604,3652,3647,3653,3652,25.7,39
1623025800000,0,60,14603,3651,3647,3653,3652,25.7,39
1623025920000,0,60,14604,3652,3647,3653,3652,25.6,39
1623026040000,0,60,14603,3651,3647,3653,3652,25.6,39
1623026160000,0,60,14604,3652,3647,3653,3652,25.6,39
1623026280000,0,60,14603,3651,3647,3653,3652,25.6,39
1623026400000,0,60,14604,3652,3647,3653,3652,25.6,39
1623026520000,0,60,14605,3652,3648,3653,3652,25.6,39
1623026640000,0,60,14602,3651,3647,3653,3651,25.5,39
1623026760000,0,70,14604,3652,3647,3653,3652,25.5,39
1623026880000,0,60,14603,3652,3647,3652,3652,25.5,39
1623027000000,0,60,14600,3651,3646,3652,3651,25.5,39
1623027120000,0,60,14601,3651,3646,3652,3652,25.5,39
1623027240000,0,60,14602,3651,3646,3653,3652,25.5,39
1623027360000,0,60,14601,3651,3646,3653,3651,25.5,39
1623027480000,0,60,14601,3651,3646,3653,3651,25.5,39
1623027600000,0,60,14600,3651,3646,3652,3651,25.5,39
1623027720000,0,60,14603,3652,3646,3653,3652,25.5,39
1623027840000,0,60,14601,3651,3646,3653,3651,25.5,39
1623027960000,0,60,14601,3651,3646,3653,3651,25.4,39
1623028080000,0,60,14602,3651,3647,3653,3651,25.4,39
1623028200000,0,60,14601,3651,3646,3653,3651,25.4,39
1623028320000,0,60,14601,3651,3646,3653,3651,25.4,39
1623028440000,0,60,14601,3651,3646,3653,3651,25.4,39
1623028560000,0,60,14601,3651,3646,3653,3651,25.4,39
1623028680000,0,60,14602,3651,3646,3653,3651,25.4,39
1623028800000,0,60,14600,3651,3646,3652,3651,25.3,39
1623028920000,0,60,14601,3651,3647,3652,3651,25.4,39
1623029040000,0,60,14599,3650,3646,3652,3651,25.4,39
1623029160000,0,60,14601,3651,3646,3653,3651,25.4,39
1623029280000,0,60,14598,3650,3646,3652,3650,25.4,39
1623029400000,0,60,14599,3650,3646,3652,3651,25.3,39
1623029520000,0,60,14599,3650,3646,3652,3651,25.4,39
1623029640000,0,60,14600,3651,3646,3652,3651,25.3,39
1623029760000,0,60,14599,3650,3646,3652,3651,25.3,39
1623029880000,0,60,14599,3650,3646,3652,3651,25.3,39
1623030000000,0,60,14600,3651,3646,3652,3651,25.3,39
1623030120000,0,60,14600,3651,3646,3652,3651,25.3,39
1623030240000,0,60,14598,3650,3645,3652,3651,25.3,39
1623030360000,0,60,14598,3650,3645,3652,3651,25.3,39
1623030480000,0,60,14598,3650,3646,3651,3651,25.4,39
1623030600000,0,60,14599,3650,3646,3652,3651,25.3,39
1623030720000,0,60,14597,3650,3645,3652,3650,25.3,39
1623030840000,0,60,14598,3650,3646,3652,3650,25.3,39
1623030960000,0,60,14596,3650,3645,3651,3650,25.4,39
1623031080000,0,60,14598,3650,3645,3652,3651,25.3,39
1623031200000,0,60,14596,3650,3645,3651,3650,25.3,39
1623031320000,0,60,14595,3649,3645,3651,3650,25.4,39
1623031440000,0,60,14596,3650,3645,3651,3650,25.3,39
1623031560000,0,60,14595,3650,3644,3651,3650,25.3,38
1623031680000,0,60,14596,3650,3645,3651,3650,25.3,38
1623031800000,0,60,14595,3649,3645,3651,3650,25.4,38
1623031920000,0,60,14596,3650,3645,3651,3650,25.3,38
1623032040000,0,60,14595,3649,3645,3651,3650,25.3,38
1623032160000,0,60,14596,3650,3645,3651,3650,25.4,38
1623032280000,0,60,14595,3649,3645,3651,3650,25.4,38
1623032400000,0,60,14592,3649,3644,3650,3649,25.4,38
1623032520000,0,60,14594,3650,3644,3651,3649,25.5,38
1623032640000,0,60,14596,3650,3645,3651,3650,25.4,38
1623032760000,0,60,14596,3650,3645,3651,3650,25.4,38
1623032880000,0,60,14595,3649,3645,3651,3650,25.5,38
1623033000000,0,60,14592,3649,3644,3650,3649,25.5,38
1623033120000,0,60,14593,3649,3644,3651,3649,25.5,38
1623033240000,0,60,14594,3650,3645,3650,3649,25.5,38
1623033360000,0,60,14592,3649,3644,3650,3649,25.6,38
1623033480000,0,60,14592,3649,3644,3650,3649,25.6,38
1623033600000,0,60,14593,3649,3645,3650,3649,25.7,38
1623033720000,0,70,14594,3649,3645,3651,3649,25.7,38
1623033840000,0,60,14592,3649,3644,3650,3649,25.8,38
1623033960000,0,60,14593,3649,3644,3651,3649,25.8,38
1623034080000,0,60,14593,3649,3644,3651,3649,25.8,38
1623034200000,0,60,14592,3649,3644,3650,3649,25.9,38
1623034320000,0,60,14592,3649,3645,3650,3648,25.9,38
1623034440000,0,60,14593,3649,3644,3651,3649,25.9,38
1623034560000,0,60,14592,3649,3644,3650,3649,26.0,38
1623034680000,0,60,14593,3649,3644,3651,3649,26.1,38
1623034800000,0,60,14592,3649,3644,3651,3649,26.1,38
1623034920000,0,60,14592,3648,3645,3650,3649,26.1,38
1623035040000,0,60,14593,3649,3644,3651,3649,26.3,38
1623035160000,0,60,14592,3649,3644,3650,3649,26.3,38
1623035280000,0,60,14592,3649,3644,3650,3649,26.3,38
1623035400000,0,60,14592,3648,3644,3651,3649,26.4,38
1623035520000,0,60,14592,3649,3644,3650,3649,26.5,38
1623035640000,0,60,14593,3649,3644,3651,3649,26.5,38
1623035760000,0,60,14591,3649,3644,3650,3648,26.5,38
1623035880000,0,60,14591,3648,3644,3650,3649,26.6,38
1623036000000,0,60,14590,3648,3644,3650,3648,26.7,38
1623036120000,0,60,14590,3648,3643,3650,3649,26.7,38
1623036240000,0,60,14591,3649,3643,3650,3649,26.8,38
1623036360000,0,60,14592,3649,3644,3650,3649,26.7,38
1623036480000,0,60,14589,3648,3643,3650,3648,26.8,38
1623036600000,0,60,14590,3648,3644,3650,3648,26.8,38
1623036720000,0,60,14590,3648,3644,3650,3648,26.9,38
1623036840000,0,60,14590,3648,3644,3650,3648,27.0,38
1623036960000,0,60,14590,3649,3643,3650,3648,27.0,38
1623037080000,0,60,14590,3648,3644,3649,3649,27.0,38
1623037200000,0,60,14593,3649,3644,3651,3649,27.1,38
1623037320000,0,60,14590,3648,3644,3650,3648,27.2,38
1623037440000,0,60,14591,3648,3644,3650,3649,27.2,38
1623037560000,0,60,14589,3648,3644,3649,3648,27.3,38
1623037680000,0,60,14590,3648,3644,3650,3648,27.3,38
1623037800000,0,60,14590,3648,3644,3650,3648,27.4,38
1623037920000,0,70,14590,3648,3644,3650,3648,27.4,38
1623038040000,0,60,14590,3648,3644,3650,3648,27.5,38
1623038160000,0,60,14590,3648,3644,3650,3648,27.6,38
1623038280000,0,70,14589,3648,3644,3649,3648,27.6,38
1623038400000,0,60,14588,3648,3643,3649,3648,27.7,38
1623038520000,0,60,14589,3648,3644,3649,3648,27.8,38
1623038640000,0,60,14589,3649,3643,3649,3648,27.7,38
1623038760000,0,60,14588,3648,3643,3650,3647,27.8,38
1623038880000,0,60,14588,3648,3643,3649,3648,27.9,38
1623039000000,0,60,14589,3647,3643,3649,3649,27.9,38
1623039120000,0,60,14589,3648,3643,3649,3649,28.0,38
1623039240000,0,60,14587,3647,3643,3649,3648,28.1,38
1623039360000,0,60,14587,3648,3643,3649,3647,28.2,38
1623039480000,0,60,14589,3648,3644,3649,3648,28.2,38
1623039600000,0,60,14588,3648,3643,3649,3648,28.2,38
1623039720000,0,60,14587,3647,3643,3649,3648,28.3,38
1623039840000,0,60,14587,3647,3643,3649,3648,28.4,38
1623039960000,0,60,14588,3648,3643,3649,3648,28.5,38
1623040080000,0,60,14588,3648,3643,3649,3648,28.5,38
1623040200000,0,60,14587,3647,3643,3649,3648,28.5,38
1623040320000,0,60,14586,3647,3642,3649,3648,28.7,38
1623040440000,0,60,14588,3648,3643,3649,3648,28.7,38
1623040560000,0,60,14586,3647,3642,3649,3648,28.8,38
1623040680000,0,60,14586,3647,3643,3649,3647,28.9,38
1623040800000,0,60,14585,3647,3643,3648,3647,28.9,38
1623040920000,0,60,14586,3647,3643,3648,3648,28.9,38
1623041040000,0,60,14587,3647,3643,3649,3648,29.0,38
1623041160000,0,60,14586,3647,3643,3649,3647,29.0,38
1623041280000,0,60,14585,3647,3642,3649,3647,29.1,38
1623041400000,0,70,14586,3647,3643,3649,3647,29.2,38
1623041520000,0,60,14586,3647,3643,3649,3647,29.2,38
1623041640000,0,60,14586,3647,3643,3649,3647,29.3,38
1623041760000,0,60,14586,3647,3643,3649,3647,29.3,38
1623041880000,0,60,14585,3647,3642,3649,3647,29.5,38
1623042000000,0,60,14585,3647,3642,3649,3647,29.5,38
1623042120000,0,60,14584,3647,3642,3648,3647,29.5,38
1623042240000,0,60,14584,3646,3642,3649,3647,29.6,38
1623042360000,0,60,14584,3647,3642,3648,3647,29.6,38
1623042480000,0,60,14585,3646,3643,3649,3647,29.7,38
1623042600000,0,60,14583,3646,3642,3649,3647,29.8,38
1623042720000,0,60,14585,3647,3642,3649,3647,29.8,38
1623042840000,0,60,14585,3647,3642,3649,3647,29.9,38
1623042960000,0,60,14585,3647,3642,3649,3647,29.9,38
1623043080000,0,60,14584,3646,3642,3649,3647,30.0,38
1623043200000,0,60,14584,3647,3642,3648,3647,30.1,38
1623043320000,0,60,14584,3647,3642,3648,3647,30.1,38
1623043440000,0,60,14586,3647,3643,3649,3647,30.2,38
1623043560000,0,60,14584,3646,3642,3649,3647,30.2,38
1623043680000,0,60,14583,3647,3642,3648,3646,30.2,38
