"['time', 'Charging Current (mA)', 'Discharging Current (mA)', 'Pack Voltage (mV)', 'String 1 Voltage(mV)', 'String 2 Voltage(mV)', 'String 3 Voltage(mV)', 'String 4 Voltage(mV)', 'Temp (C)', 'State Of Charge (%)']"
1622485800000,0,10,16391,4091,4099,4105,4096,3.56,91
1622485920000,0,10,16392,4091,4099,4105,4097,3.56,91
1622486040000,0,10,16391,4091,4099,4105,4096,3.56,91
1622486160000,0,10,16391,4091,4099,4105,4096,3.56,91
1622486280000,0,10,16392,4091,4099,4105,4097,3.56,91
1622486400000,0,10,16391,4091,4099,4105,4096,3.55,91
1622486520000,0,10,16390,4090,4099,4105,4096,3.55,91
1622486640000,0,10,16391,4091,4099,4105,4096,3.55,91
1622486760000,0,10,16390,4091,4098,4105,4096,3.55,91
1622486880000,0,10,16390,4091,4098,4104,4097,3.55,91
1622487000000,0,10,16391,4090,4099,4105,4097,3.55,91
1622487120000,0,10,16392,4091,4099,4105,4097,3.54,91
1622487240000,0,10,16391,4091,4099,4104,4097,3.55,91
1622487360000,0,10,16388,4090,4098,4104,4096,3.55,91
1622487480000,0,10,16390,4091,4099,4104,4096,3.55,91
1622487600000,0,10,16389,4090,4099,4104,4096,3.55,91
1622487720000,0,10,16389,4091,4098,4104,4096,3.55,91
1622487840000,0,10,16389,4090,4098,4104,4096,3.55,91
1622487960000,0,10,16389,4090,4098,4105,4096,3.54,91
1622488080000,0,10,16389,4091,4098,4104,4096,3.55,91
1622488200000,0,10,16388,4090,4098,4104,4096,3.54,91
1622488320000,0,10,16388,4090,4098,4104,4096,3.53,91
1622488440000,0,10,16388,4090,4098,4104,4096,3.54,91
1622488560000,0,10,16388,4090,4098,4104,4096,3.54,91
1622488680000,0,10,16388,4090,4098,4104,4096,3.53,91
1622488800000,0,10,16388,4090,4098,4104,4096,3.53,91
1622488920000,0,10,16389,4090,4098,4105,4096,3.53,91
1622489040000,0,10,16388,4090,4098,4104,4096,3.53,91
1622489160000,0,10,16388,4090,4098,4104,4096,3.53,91
1622489280000,0,10,16388,4090,4098,4104,4096,3.51,91
1622489400000,0,10,16388,4090,4098,4104,4096,3.53,91
1622489520000,0,10,16388,4090,4098,4104,4096,3.53,91
1622489640000,0,10,16388,4090,4098,4104,4096,3.52,91
1622489760000,0,10,16386,4089,4098,4104,4095,3.52,91
1622489880000,0,10,16387,4090,4098,4104,4095,3.53,91
1622490000000,0,10,16388,4090,4098,4104,4096,3.52,91
1622490120000,0,10,16387,4090,4098,4104,4095,3.52,91
1622490240000,0,10,16388,4090,4098,4104,4096,3.52,91
1622490360000,0,10,16388,4090,4098,4104,4096,3.52,91
1622490480000,0,10,16388,4090,4098,4104,4096,3.52,91
